country,manufacturer_id,name,cpu,year
UK,3,Acorn Atom,6502,1980
UK,3,BBC Micro,6502,1981
UK,3,Electron,6502,1983
UK,3,BBC Master,65SC12,1986
UK,3,Acorn Archimedes,ARM RISC,1987
UK,3,A7000,ARM RISC,1995
UK,4,CPC 464,Z80,1984
UK,4,CPC 664,Z80,1984
UK,4,CPC 6128,Z80,1984
UK,4,464 Plus,Z80,1990
UK,4,6128 Plus,Z80,1990
UK,4,PCW,Z80,1985
UK,4,PC-1512,8086,1986
China,69,CEC-I Zhonghua,6502,1986
USA,2,Imagination Machine,6800,1979
USA,5,Apple II,6502,1977
USA,5,Apple IIe,6502,1983
USA,5,Apple IIc,65C02,1984
USA,5,Apple IIc Plus,65C02,1988
USA,5,Apple II Plus,6502,1979
USA,5,Apple IIGS,65C816,1986
UK,6,Apricot F1,8088,1984
Netherlands,7,CT-80,Z80,1982
USA,9,Atari 400,6502,1979
USA,9,Atari 800,6502,1979
USA,9,Atari 1200XL,6502,1983
USA,9,Atari 600XL,6502,1983
USA,9,Atari 800XL,6502,1983
USA,9,Atari 65XE,6502C,1985
USA,9,Atari 130XE,6502C,1985
USA,8,Atari ST,68000,1985
USA,8,Atari TT,68030,1990
USA,8,Falcon,68030 + 56001,1992
USA,10,Bally Brain,Z80,1979
USA,10,Bally Astrocade,Z80,1977
Romania,11,CoBra,Z80,1986
UK,12,Lynx,Z80,1983
USA,13,Coleco Adam,Z80,1983
USA,14,PET,6502,1977
USA,14,VIC-20,6502,1980
USA,14,Commodore 64,6510,1982
USA,14,Commodore Executive 64,6510,1982
USA,14,MAX Machine,6510,1982
USA,14,Commodore 16,8501 (6502),1984
USA,14,Commodore 116,8501 (6502),1984
USA,14,Plus/4,8501 (6502),1984
USA,14,Commodore 128,8502 (6502) / Z80,1985
USA,14,Amiga,68000 (family),1985
Hong Kong,15,Comx-35,RCA 1802,1983
Belgium,17,DAI Personal Computer,8080,1980
Hong Kong,74,VTech Laser 200,Z80,1985
Hong Kong,21,Video Genie,Z80,1980
Hong Kong,21,Colour Genie,Z80,1983
Hong Kong,55,Rabbit RX83,Z80,1983
Czechoslovakia,18,Alpha,Z80,1986
Czechoslovakia,18,Beta,Z80,1986
Czechoslovakia,18,Gama,Z80,1987
UK,19,Dragon 32,6809,1982
UK,19,Dragon 64,6809,1982
USSR,20,Dubna 48K,Z80 (compatible),1991
USSR,22,BK-0010,PDP 11 (compatible),1985
USSR,1,AGAT-9,Native/Apple II compatible,1984
Serbia,23,Pecom 32,RCA 1802,1985
Serbia,23,Pecom 64,RCA 1802,1985
USA,24,Exidy Sorcerer,Z80,1978
UK,32,Enterprise 64,Z80,1985
UK,32,Enterprise 128,Z80,1985
Hong Kong,39,Lambda 8300,Z80,1985
USA,25,Franklin ACE,6502,1982
Japan,26,FM Towns,80386SX,1989
Japan,26,FM-7,6809,1982
UK,29,Grundy NewBrain,Z80,1982
Brazil,28,Gradiente Expert,Z80,1985
USA,30,Honeywell 316,DDP 16 Minicomputer,1969
USA,31,PCjr,8088,1984
USA,31,IBM PS/1,8088,1990
USA,34,Interact Home Computer,8080,1979
USA,33,Compucolor II,8080,1977
USSR,35,Hobbit,Z80 compatible,1990
